# CSV file produced by Simufact
# Date of creation: 17.10.2021 13:23:19
#
# 1 (TIME - s);1 (Y displacement - mm);# 10 (TIME - s);10 (Y displacement - mm);# 2 (TIME - s);2 (Y displacement - mm);# 3 (TIME - s);3 (Y displacement - mm);# 4 (TIME - s);4 (Y displacement - mm);# 5 (TIME - s);5 (Y displacement - mm);# 6 (TIME - s);6 (Y displacement - mm);# 7 (TIME - s);7 (Y displacement - mm);# 8 (TIME - s);8 (Y displacement - mm);# 9 (TIME - s);9 (Y displacement - mm)
18283.8076;0.000308410535;18283.8076;0.000134166871;18283.8076;0.000214789639;18283.8076;0.000366157609;18283.8076;-0.000131056671;18283.8076;0.000160271671;18283.8076;0.000589192479;18283.8076;0.000167980381;18283.8076;0.000177060825;18283.8076;6.34737784e-06
18283.9834;0.000674886363;18283.9834;0.000475348973;18283.9834;0.000729908208;18283.9834;0.000987258653;18283.9834;0.000289131846;18283.9834;0.000385184227;18283.9834;0.000681917588;18283.9834;0.000216977487;18283.9834;0.000357068868;18283.9834;0.000530829555
18295.4076;0.00377933569;18295.4076;0.00356471326;18295.4076;0.00480332236;18295.4076;0.00595964824;18295.4076;0.00384577234;18295.4076;0.00291409194;18295.4076;0.00245180852;18295.4076;0.00137537243;18295.4076;0.00226941126;18295.4076;0.00479198276
22215.35;0.00304246435;22215.35;0.00290933483;22215.35;0.00448446545;22215.35;0.00605200051;22215.35;0.00345825341;22215.35;0.00206696069;22215.35;0.00121957227;22215.35;-0.000118244909;22215.35;0.0010629657;22215.35;0.00468495924
22215.3503;0.00183353698;22215.3503;0.00162890814;22215.3503;0.00251140583;22215.3503;0.0034135478;22215.3503;0.00171440798;22215.3503;0.00119884771;22215.3503;0.00105362154;22215.3503;0.000104416928;22215.3503;0.000730344133;22215.3503;0.00243432505
22215.526;0.00209053167;22215.526;0.0018973784;22215.526;0.00292337748;22215.526;0.00390149676;22215.526;0.0021096474;22215.526;0.00135918503;22215.526;0.00101884077;22215.526;8.23158559e-05;22215.526;0.0008283759;22215.526;0.00291041687
22226.9503;0.00494975537;22226.9503;0.00491375837;22226.9503;0.00690413915;22226.9503;0.00892708555;22226.9503;0.00583837341;22226.9503;0.00383142108;22226.9503;0.00245211355;22226.9503;0.000858330824;22226.9503;0.00240187838;22226.9503;0.00738678529
26146.5434;0.00452725962;26146.5434;0.00458914284;26146.5434;0.00688795902;26146.5434;0.00932016988;26146.5434;0.00578764809;26146.5434;0.00334247284;26146.5434;0.00158235429;26146.5434;-0.000278847619;26146.5434;0.00153043547;26146.5434;0.00760305184
26146.5437;0.00354788263;26146.5437;0.00347975236;26146.5437;0.00522652781;26146.5437;0.00702355411;26146.5437;0.00423203556;26146.5437;0.00254054708;26146.5437;0.00142457156;26146.5437;-2.95934638e-05;26146.5437;0.0013089496;26146.5437;0.00560198708
26146.7194;0.00367289364;26146.7194;0.00357322914;26146.7194;0.00533360378;26146.7194;0.00710031366;26146.7194;0.00431033395;26146.7194;0.00261061086;26146.7194;0.00150834368;26146.7194;8.54401312e-05;26146.7194;0.0014427525;26146.7194;0.00568076333
26158.1437;0.00603969502;26158.1437;0.006204719;26158.1437;0.00872745061;26158.1437;0.0115320174;26158.1437;0.00768336697;26158.1437;0.00482728089;26158.1437;0.00271782806;26158.1437;0.000628121773;26158.1437;0.0026830904;26158.1437;0.00973751912
30076.6583;0.00572226334;30076.6583;0.00600225604;30076.6583;0.00881020841;30076.6583;0.0120239843;30076.6583;0.00776284802;30076.6583;0.00448281961;30076.6583;0.00199185023;30076.6583;-0.00036941214;30076.6583;0.00193269463;30076.6583;0.0100731079
30076.6586;0.00516314895;30076.6586;0.00544267213;30076.6586;0.00813618883;30076.6586;0.0112139417;30076.6586;0.00712769552;30076.6586;0.00410899837;30076.6586;0.00176700118;30076.6586;-0.000514122518;30076.6586;0.00159771998;30076.6586;0.0092960119
30076.8343;0.00461666907;30076.8343;0.00472249394;30076.8343;0.0075845205;30076.8343;0.0106213823;30076.8343;0.00636879506;30076.8343;0.00321919018;30076.8343;0.000994718695;30076.8343;-0.00122665351;30076.8343;0.000972733486;30076.8343;0.0086127709
30088.2586;0.00521299442;30088.2586;0.0053076949;30088.2586;0.00819651299;30088.2586;0.0112628547;30088.2586;0.0069764177;30088.2586;0.00371643655;30088.2586;0.00135593868;30088.2586;-0.000916326056;30088.2586;0.00143596321;30088.2586;0.00927166611
30796.7508;0.00581528821;30796.7508;0.00595255142;30796.7508;0.00893706195;30796.7508;0.0121587402;30796.7508;0.00772434032;30796.7508;0.00428489556;30796.7508;0.00176952651;30796.7508;-0.000593041792;30796.7508;0.0018764608;30796.7508;0.0101232117
