# CSV file produced by Simufact
# Date of creation: 17.10.2021 13:23:25
#
# 1 (TIME - s);1 (Z displacement - mm);# 10 (TIME - s);10 (Z displacement - mm);# 2 (TIME - s);2 (Z displacement - mm);# 3 (TIME - s);3 (Z displacement - mm);# 4 (TIME - s);4 (Z displacement - mm);# 5 (TIME - s);5 (Z displacement - mm);# 6 (TIME - s);6 (Z displacement - mm);# 7 (TIME - s);7 (Z displacement - mm);# 8 (TIME - s);8 (Z displacement - mm);# 9 (TIME - s);9 (Z displacement - mm)
18283.8076;-0.00452040301;18283.8076;-0.00452567689;18283.8076;-0.00442628868;18283.8076;-0.00453146791;18283.8076;-0.00446952144;18283.8076;-0.00429922922;18283.8076;-0.00446563788;18283.8076;-0.00455134366;18283.8076;-0.00453640575;18283.8076;-0.00455562478
18283.9834;-0.00214968979;18283.9834;-0.00205144319;18283.9834;-0.00209219162;18283.9834;-0.00219390534;18283.9834;-0.00181242137;18283.9834;-0.0014803804;18283.9834;-0.00180371117;18283.9834;-0.00211789268;18283.9834;-0.00218045939;18283.9834;-0.00204031948
18295.4076;-0.0024179856;18295.4076;-0.00304570373;18295.4076;-0.00237001547;18295.4076;-0.00286640248;18295.4076;-0.00301689455;18295.4076;-0.00275910919;18295.4076;-0.00303104599;18295.4076;-0.00315239046;18295.4076;-0.00280680311;18295.4076;-0.00312306611
22215.35;-0.0103231343;22215.35;-0.0114223705;22215.35;-0.0102880286;22215.35;-0.0110114002;22215.35;-0.0116233508;22215.35;-0.0114948972;22215.35;-0.0116673753;22215.35;-0.0115495837;22215.35;-0.0109017471;22215.35;-0.0116175553
22215.3503;-0.00949810378;22215.3503;-0.010147414;22215.3503;-0.00940161227;22215.3503;-0.00985764193;22215.3503;-0.010331267;22215.3503;-0.0102639841;22215.3503;-0.0103429085;22215.3503;-0.0102008621;22215.3503;-0.00980702068;22215.3503;-0.0102856131
22215.526;-0.00768050578;22215.526;-0.00824387797;22215.526;-0.00762841666;22215.526;-0.00805936116;22215.526;-0.00828486454;22215.526;-0.00810692096;22215.526;-0.00829648559;22215.526;-0.00832420463;22215.526;-0.00800228578;22215.526;-0.00834500982
22226.9503;-0.00477336895;22226.9503;-0.0061020282;22226.9503;-0.00475192724;22226.9503;-0.00559554441;22226.9503;-0.00625121786;22226.9503;-0.00608106328;22226.9503;-0.0063520537;22226.9503;-0.00632924619;22226.9503;-0.00555812614;22226.9503;-0.00627107266
26146.5434;-0.011736622;26146.5434;-0.0135321883;26146.5434;-0.0117244344;26146.5434;-0.0127913837;26146.5434;-0.0139023833;26146.5434;-0.0138586835;26146.5434;-0.0140407194;26146.5434;-0.0137887343;26146.5434;-0.0127149781;26146.5434;-0.0138123639
26146.5437;-0.0105587872;26146.5437;-0.0119641474;26146.5437;-0.0105170122;26146.5437;-0.0113521716;26146.5437;-0.0122560256;26146.5437;-0.0122479127;26146.5437;-0.0123568488;26146.5437;-0.0121306944;26146.5437;-0.0112863248;26146.5437;-0.0121523367
26146.7194;-0.0105099908;26146.7194;-0.0117346848;26146.7194;-0.0104702427;26146.7194;-0.0112231248;26146.7194;-0.0119359483;26146.7194;-0.0118541373;26146.7194;-0.0120170299;26146.7194;-0.0118910652;26146.7194;-0.011167203;26146.7194;-0.0118824527
26158.1437;-0.00730003427;26158.1437;-0.00927885782;26158.1437;-0.00726002535;26158.1437;-0.00841242536;26158.1437;-0.00964827627;26158.1437;-0.0096022256;26158.1437;-0.00986840931;26158.1437;-0.00964094115;26158.1437;-0.00847995962;26158.1437;-0.00955035175
30076.6583;-0.0135047331;30076.6583;-0.0159596762;30076.6583;-0.0134686247;30076.6583;-0.0148524642;30076.6583;-0.0165439427;30076.6583;-0.0166363976;30076.6583;-0.016810561;30076.6583;-0.0163587376;30076.6583;-0.0148877009;30076.6583;-0.0163475749
30076.6586;-0.0139742614;30076.6586;-0.0160775979;30076.6586;-0.0140680544;30076.6586;-0.0155227229;30076.6586;-0.0166834556;30076.6586;-0.0161681448;30076.6586;-0.0158244435;30076.6586;-0.0153152209;30076.6586;-0.0146948487;30076.6586;-0.0168082313
30076.8343;-0.0137106194;30076.8343;-0.0156619604;30076.8343;-0.0138715206;30076.8343;-0.0152847963;30076.8343;-0.016208218;30076.8343;-0.0156840602;30076.8343;-0.0156242599;30076.8343;-0.015209519;30076.8343;-0.0144390302;30076.8343;-0.0163772306
30088.2586;-0.0119716101;30088.2586;-0.0141421778;30088.2586;-0.0119800679;30088.2586;-0.0132373831;30088.2586;-0.0145454997;30088.2586;-0.014540512;30088.2586;-0.0150526509;30088.2586;-0.01479337;30088.2586;-0.0132978006;30088.2586;-0.0144393385
30796.7508;-0.0122246535;30796.7508;-0.0147815202;30796.7508;-0.0122235333;30796.7508;-0.0136524701;30796.7508;-0.0153667514;30796.7508;-0.0155098718;30796.7508;-0.0159633985;30796.7508;-0.0155247368;30796.7508;-0.013741944;30796.7508;-0.0151581875
30796.7511;-0.0125419974;30796.7511;-0.0149986892;30796.7511;-0.0125456678;30796.7511;-0.0139817111;30796.7511;-0.0155974676;30796.7511;-0.0155840707;30796.7511;-0.0157433973;30796.7511;-0.0152688441;30796.7511;-0.0138505903;30796.7511;-0.015461489
30796.9268;-0.0125572458;30796.9268;-0.0148843798;30796.9268;-0.0126404082;30796.9268;-0.0141053182;30796.9268;-0.0154835502;30796.9268;-0.0152728018;30796.9268;-0.0153704362;30796.9268;-0.0148773621;30796.9268;-0.0136383245;30796.9268;-0.015465041
30808.3511;-0.0100785025;30808.3511;-0.0122490424;30808.3511;-0.0102582516;30808.3511;-0.011570847;30808.3511;-0.0128905632;30808.3511;-0.0129573443;30808.3511;-0.0131847984;30808.3511;-0.0127329187;30808.3511;-0.0113438516;30808.3511;-0.0128701854
31460.9216;-0.0108609468;31460.9216;-0.0133957191;31460.9216;-0.0110279808;31460.9216;-0.0125000229;31460.9216;-0.0142102322;31460.9216;-0.0144392584;31460.9216;-0.0145778278;31460.9216;-0.0139385218;31460.9216;-0.0122986564;31460.9216;-0.0140803619
31460.9218;-0.0110629941;31460.9218;-0.0135131991;31460.9218;-0.0112105645;31460.9218;-0.0126550782;31460.9218;-0.0142996334;31460.9218;-0.0144613508;31460.9218;-0.0146072939;31460.9218;-0.0140541619;31460.9218;-0.0125100784;31460.9218;-0.0142025442
31461.0976;-0.0111576164;31461.0976;-0.0135375854;31461.0976;-0.0113229306;31461.0976;-0.0127629861;31461.0976;-0.0143041023;31461.0976;-0.0143823155;31461.0976;-0.0144396311;31461.0976;-0.0138275676;31461.0976;-0.0124183671;31461.0976;-0.0142532014
