# CSV file produced by Simufact
# Date of creation: 05.10.2021 14:34:50
#
# 1 (TIME - s);1 (Equivalent stress - MPa);# 2 (TIME - s);2 (Equivalent stress - MPa);# 3 (TIME - s);3 (Equivalent stress - MPa);# 4 (TIME - s);4 (Equivalent stress - MPa);# 5 (TIME - s);5 (Equivalent stress - MPa);# 6 (TIME - s);6 (Equivalent stress - MPa);# 7 (TIME - s);7 (Equivalent stress - MPa);# 8 (TIME - s);8 (Equivalent stress - MPa);# 9 (TIME - s);9 (Equivalent stress - MPa)
23973.9028;23.6746439;23973.9028;23.6780641;23973.9028;23.6840633;23973.9028;23.6915506;23973.9028;23.6963996;23973.9028;23.6974979;23973.9028;23.6868023;23973.9028;23.6758539;23973.9028;23.685512
23974.0786;179.542084;23974.0786;179.32708;23974.0786;178.970444;23974.0786;178.082646;23974.0786;177.367761;23974.0786;177.213304;23974.0786;178.639621;23974.0786;179.507104;23974.0786;178.831671
23985.5028;491.9151;23985.5028;489.925235;23985.5028;489.95352;23985.5028;506.422784;23985.5028;520.477419;23985.5028;523.115229;23985.5028;495.863277;23985.5028;489.176155;23985.5028;493.630652
24939.9451;532.059181;24939.9451;528.519831;24939.9451;526.124276;24939.9451;541.185386;24939.9451;554.615924;24939.9451;556.967804;24939.9451;530.820448;24939.9451;528.175682;24939.9451;529.493912
24939.9451;535.727164;24939.9451;531.951168;24939.9451;529.178634;24939.9451;543.790058;24939.9451;556.819195;24939.9451;559.096337;24939.9451;533.681083;24939.9451;531.719828;24939.9451;532.476183
24940.1209;538.043319;24940.1209;534.039392;24940.1209;530.90364;24940.1209;545.091766;24940.1209;557.792042;24940.1209;560.000445;24940.1209;535.209465;24940.1209;533.921935;24940.1209;534.131661
24951.5451;537.508118;24951.5451;533.162282;24951.5451;529.435093;24951.5451;542.795899;24951.5451;554.830883;24951.5451;556.902589;24951.5451;533.393647;24951.5451;533.232463;24951.5451;532.502251
25324.626;516.584017;25324.626;514.142968;25324.626;513.427852;25324.626;529.825521;25324.626;544.027132;25324.626;546.558151;25324.626;518.857717;25324.626;513.313642;25324.626;517.026027
25324.626;518.18774;25324.626;515.631649;25324.626;514.732338;25324.626;530.89386;25324.626;544.872951;25324.626;547.366886;25324.626;520.073678;25324.626;514.860755;25324.626;518.298166
25324.8018;521.446316;25324.8018;518.682393;25324.8018;517.454398;25324.8018;533.272468;25324.8018;546.978555;25324.8018;549.412909;25324.8018;522.623342;25324.8018;518.003388;25324.8018;520.960358
