# CSV file produced by Simufact
# Date of creation: 05.10.2021 14:39:11
#
# 1 (TIME - s);1 (Temperature - ¢XC);# 2 (TIME - s);2 (Temperature - ¢XC);# 3 (TIME - s);3 (Temperature - ¢XC);# 4 (TIME - s);4 (Temperature - ¢XC);# 5 (TIME - s);5 (Temperature - ¢XC);# 6 (TIME - s);6 (Temperature - ¢XC);# 7 (TIME - s);7 (Temperature - ¢XC);# 8 (TIME - s);8 (Temperature - ¢XC);# 9 (TIME - s);9 (Temperature - ¢XC)
23973.9028;1685.68291;23973.9028;1685.73402;23973.9028;1685.77776;23973.9028;1685.78873;23973.9028;1685.77206;23973.9028;1685.75296;23973.9028;1685.73683;23973.9028;1685.76171;23973.9028;1685.76765
23974.0786;974.692948;23974.0786;974.825163;23974.0786;976.937576;23974.0786;977.539171;23974.0786;977.174471;23974.0786;976.661405;23974.0786;975.89032;23974.0786;976.466966;23974.0786;976.363528
23985.5028;249.163993;23985.5028;249.158256;23985.5028;249.247627;23985.5028;249.298853;23985.5028;249.313651;23985.5028;249.298462;23985.5028;249.243319;23985.5028;249.242807;23985.5028;249.206392
24939.9451;136.289724;24939.9451;136.272386;24939.9451;136.168214;24939.9451;136.130922;24939.9451;136.177101;24939.9451;136.213761;24939.9451;136.249375;24939.9451;136.206959;24939.9451;136.196783
24939.9451;136.290237;24939.9451;136.272898;24939.9451;136.168724;24939.9451;136.131431;24939.9451;136.177611;24939.9451;136.214272;24939.9451;136.249886;24939.9451;136.207469;24939.9451;136.197294
24940.1209;138.956032;24940.1209;138.935936;24940.1209;138.826336;24940.1209;138.786805;24940.1209;138.835368;24940.1209;138.87424;24940.1209;138.912263;24940.1209;138.867183;24940.1209;138.856513
24951.5451;162.134553;24951.5451;162.462463;24951.5451;163.39415;24951.5451;163.895361;24951.5451;163.263049;24951.5451;162.797519;24951.5451;162.445075;24951.5451;162.961172;24951.5451;163.080339
25324.626;204.577063;25324.626;204.56494;25324.626;204.47522;25324.626;204.416212;25324.626;204.464705;25324.626;204.504326;25324.626;204.542244;25324.626;204.508722;25324.626;204.513013
25324.626;204.577061;25324.626;204.564939;25324.626;204.475218;25324.626;204.416211;25324.626;204.464703;25324.626;204.504325;25324.626;204.542242;25324.626;204.508721;25324.626;204.513011
25324.8018;204.563368;25324.8018;204.55058;25324.8018;204.459622;25324.8018;204.40008;25324.8018;204.449501;25324.8018;204.489801;25324.8018;204.528165;25324.8018;204.493776;25324.8018;204.497744
25336.226;206.025254;25336.226;206.319304;25336.226;207.061933;25336.226;207.43669;25336.226;206.921585;25336.226;206.532305;25336.226;206.264154;25336.226;206.699317;25336.226;206.827441
25706.6994;208.467228;25706.6994;208.465452;25706.6994;208.392245;25706.6994;208.340316;25706.6994;208.374332;25706.6994;208.405569;25706.6994;208.4373;25706.6994;208.417051;25706.6994;208.425682
25706.6995;208.467226;25706.6995;208.46545;25706.6995;208.392243;25706.6995;208.340314;25706.6995;208.37433;25706.6995;208.405568;25706.6995;208.437298;25706.6995;208.417049;25706.6995;208.42568
25706.8752;208.447773;25706.8752;208.445389;25706.8752;208.371046;25706.8752;208.318621;25706.8752;208.353507;25706.8752;208.385383;25706.8752;208.417505;25706.8752;208.396465;25706.8752;208.404785
25718.2995;209.224686;25718.2995;209.49035;25718.2995;210.1563;25718.2995;210.491847;25718.2995;210.025891;25718.2995;209.675749;25718.2995;209.436892;25718.2995;209.829346;25718.2995;209.946659
