# CSV file produced by Simufact
# Date of creation: 17.10.2021 13:31:33
#
# 1 (TIME - s);1 (X displacement - mm);# 10 (TIME - s);10 (X displacement - mm);# 2 (TIME - s);2 (X displacement - mm);# 3 (TIME - s);3 (X displacement - mm);# 4 (TIME - s);4 (X displacement - mm);# 5 (TIME - s);5 (X displacement - mm);# 6 (TIME - s);6 (X displacement - mm);# 7 (TIME - s);7 (X displacement - mm);# 8 (TIME - s);8 (X displacement - mm);# 9 (TIME - s);9 (X displacement - mm)
18283.8076;-0.00304885968;18283.8076;-0.00248102383;18283.8076;-0.00289928097;18283.8076;-0.0028745837;18283.8076;-0.00276226847;18283.8076;-0.00245959288;18283.8076;-0.00244384968;18283.8076;-0.00258980146;18283.8076;-0.00272623896;18283.8076;-0.00271842294
18283.9834;-0.00486542538;18283.9834;-0.00591070988;18283.9834;-0.00498085925;18283.9834;-0.00551743513;18283.9834;-0.00661751186;18283.9834;-0.00648240712;18283.9834;-0.00582206396;18283.9834;-0.00509607482;18283.9834;-0.00490154128;18283.9834;-0.00536847414
18295.4076;-0.0213717338;18295.4076;-0.0283504628;18295.4076;-0.0226716382;18295.4076;-0.0255234615;18295.4076;-0.0307985481;18295.4076;-0.0309773633;18295.4076;-0.0281157124;18295.4076;-0.024274492;18295.4076;-0.0228501957;18295.4076;-0.0252143803
22215.35;-0.0300172392;22215.35;-0.0384232131;22215.35;-0.0316044074;22215.35;-0.0350133796;22215.35;-0.0412053256;22215.35;-0.0414695159;22215.35;-0.0382011695;22215.35;-0.0336592179;22215.35;-0.031904513;22215.35;-0.0346842314
22215.3503;-0.0178295978;22215.3503;-0.022138166;22215.3503;-0.0186165597;22215.3503;-0.0204786921;22215.3503;-0.0238999991;22215.3503;-0.0238779725;22215.3503;-0.0219834822;22215.3503;-0.0195271511;22215.3503;-0.0186609554;22215.3503;-0.0201895216
22215.526;-0.0188150667;22215.526;-0.0243201311;22215.526;-0.0198127494;22215.526;-0.0220706334;22215.526;-0.0262536195;22215.526;-0.0263752835;22215.526;-0.024124858;22215.526;-0.021094614;22215.526;-0.0199646986;22215.526;-0.0218405847
22226.9503;-0.0365043154;22226.9503;-0.0472993248;22226.9503;-0.0385711199;22226.9503;-0.0428476891;22226.9503;-0.0505089007;22226.9503;-0.0509387846;22226.9503;-0.0469380268;22226.9503;-0.0412929103;22226.9503;-0.039048226;22226.9503;-0.0426213272
26146.5434;-0.0446493713;26146.5434;-0.0567756282;26146.5434;-0.0469846062;26146.5434;-0.0517842951;26146.5434;-0.0603067404;26146.5434;-0.060810738;26146.5434;-0.0564214211;26146.5434;-0.050122208;26146.5434;-0.0475730893;26146.5434;-0.0515371537
26146.5437;-0.033665033;26146.5437;-0.0428744834;26146.5437;-0.0354435442;26146.5437;-0.0391593193;26146.5437;-0.0458149395;26146.5437;-0.0461041836;26146.5437;-0.0426075952;26146.5437;-0.0377190769;26146.5437;-0.0358135155;26146.5437;-0.0388682268
26146.7194;-0.0329121931;26146.7194;-0.0422617468;26146.7194;-0.0346958271;26146.7194;-0.0384342876;26146.7194;-0.045117294;26146.7194;-0.0454586138;26146.7194;-0.0419524082;26146.7194;-0.0370266018;26146.7194;-0.0350837115;26146.7194;-0.0381978777
26158.1437;-0.0491654062;26158.1437;-0.062321361;26158.1437;-0.0516899849;26158.1437;-0.0568885254;26158.1437;-0.0659530745;26158.1437;-0.0665079085;26158.1437;-0.0618176704;26158.1437;-0.0550683666;26158.1437;-0.0522934995;26158.1437;-0.0566972201
30076.6583;-0.0571691517;30076.6583;-0.0716096259;30076.6583;-0.0599482196;30076.6583;-0.0656529195;30076.6583;-0.0755576394;30076.6583;-0.0761836222;30076.6583;-0.0711127793;30076.6583;-0.0637289305;30076.6583;-0.0606600299;30076.6583;-0.065443376
30076.6586;-0.0544990353;30076.6586;-0.0688478299;30076.6586;-0.0572912272;30076.6586;-0.0630243993;30076.6586;-0.0729161756;30076.6586;-0.0734624248;30076.6586;-0.0683493123;30076.6586;-0.0609848845;30076.6586;-0.0579315523;30076.6586;-0.0627049278
30076.8343;-0.0530956293;30076.8343;-0.0674386381;30076.8343;-0.0559098166;30076.8343;-0.0616425905;30076.8343;-0.071533968;30076.8343;-0.0720747155;30076.8343;-0.0669342728;30076.8343;-0.0595173407;30076.8343;-0.056462363;30076.8343;-0.0612949314
30088.2586;-0.0550078562;30088.2586;-0.0692861087;30088.2586;-0.0576342252;30088.2586;-0.0631882094;30088.2586;-0.0730481631;30088.2586;-0.0737977371;30088.2586;-0.0688899221;30088.2586;-0.061585523;30088.2586;-0.0584955063;30088.2586;-0.0631141659
30796.7508;-0.0575227569;30796.7508;-0.0719537952;30796.7508;-0.0601773412;30796.7508;-0.0657790583;30796.7508;-0.0757127006;30796.7508;-0.0764854667;30796.7508;-0.0715582555;30796.7508;-0.0641941012;30796.7508;-0.0610716804;30796.7508;-0.06572832
30796.7511;-0.0564599157;30796.7511;-0.0708812551;30796.7511;-0.0591958089;30796.7511;-0.0648675892;30796.7511;-0.0747781364;30796.7511;-0.0754465024;30796.7511;-0.0704270058;30796.7511;-0.0630511525;30796.7511;-0.0599612276;30796.7511;-0.064694708
30796.9268;-0.0552497419;30796.9268;-0.0696642695;30796.9268;-0.0579801014;30796.9268;-0.0636511524;30796.9268;-0.0735721793;30796.9268;-0.0742445617;30796.9268;-0.0692330811;30796.9268;-0.061842157;30796.9268;-0.0587364583;30796.9268;-0.0634613495
30808.3511;-0.0549491718;30808.3511;-0.0698545773;30808.3511;-0.0578741163;30808.3511;-0.0636113437;30808.3511;-0.0735241496;30808.3511;-0.0744564645;30808.3511;-0.0695050612;30808.3511;-0.0620610568;30808.3511;-0.0587969862;30808.3511;-0.0635048635
31460.9216;-0.0581236404;31460.9216;-0.0732289898;31460.9216;-0.061064218;31460.9216;-0.0668570082;31460.9216;-0.0768900074;31460.9216;-0.0778602376;31460.9216;-0.0728851955;31460.9216;-0.0653520292;31460.9216;-0.0620341833;31460.9216;-0.0667910882
31460.9218;-0.0574350324;31460.9218;-0.0725557653;31460.9218;-0.0604638328;31460.9218;-0.0663345768;31460.9218;-0.0763416803;31460.9218;-0.0772140253;31460.9218;-0.0721418356;31460.9218;-0.0645872455;31460.9218;-0.0612994565;31460.9218;-0.0661516139
31461.0976;-0.0567175741;31461.0976;-0.0718307546;31461.0976;-0.0597598793;31461.0976;-0.0656411763;31461.0976;-0.0756420998;31461.0976;-0.0764990062;31461.0976;-0.0714244329;31461.0976;-0.0638730746;31461.0976;-0.0605846124;31461.0976;-0.0654306998
31472.5218;-0.0567084726;31472.5218;-0.0717219682;31472.5218;-0.0595714004;31472.5218;-0.0652814112;31472.5218;-0.0752900315;31472.5218;-0.0763200782;31472.5218;-0.0714429782;31472.5218;-0.0639711416;31472.5218;-0.0606450254;31472.5218;-0.065289642
32118.6644;-0.0597081313;32118.6644;-0.0748889342;32118.6644;-0.0625691953;32118.6644;-0.0683124954;32118.6644;-0.0784269584;32118.6644;-0.0795060445;32118.6644;-0.074622415;32118.6644;-0.0670784611;32118.6644;-0.0637032911;32118.6644;-0.068377
32118.6646;-0.0591133293;32118.6646;-0.0743080984;32118.6646;-0.0620576544;32118.6646;-0.0678739271;32118.6646;-0.0779632201;32118.6646;-0.0789529649;32118.6646;-0.0739804149;32118.6646;-0.0664130671;32118.6646;-0.063064951;32118.6646;-0.0678266688
32118.8404;-0.0586903892;32118.8404;-0.0738908548;32118.8404;-0.0616583225;32118.8404;-0.0674941879;32118.8404;-0.0775767128;32118.8404;-0.0785432863;32118.8404;-0.0735531227;32118.8404;-0.0659802432;32118.8404;-0.0626348784;32118.8404;-0.0674152527
32130.2646;-0.0584712167;32130.2646;-0.0735927747;32130.2646;-0.0612794831;32130.2646;-0.0669665296;32130.2646;-0.0770651287;32130.2646;-0.0781842417;32130.2646;-0.0733701694;32130.2646;-0.0658694305;32130.2646;-0.0624864171;32130.2646;-0.0670836333
32765.7142;-0.0613103003;32765.7142;-0.0765707086;32765.7142;-0.0641031439;32765.7142;-0.0698065695;32765.7142;-0.0799980715;32765.7142;-0.0811716861;32765.7142;-0.0763651282;32765.7142;-0.0688080381;32765.7142;-0.065380307;32765.7142;-0.0699906193
32765.7145;-0.060765836;32765.7145;-0.0760401385;32765.7145;-0.0636349183;32765.7145;-0.0694054385;32765.7145;-0.0795752552;32765.7145;-0.0806698172;32765.7145;-0.0757837214;32765.7145;-0.068203404;32765.7145;-0.0647990138;32765.7145;-0.0694857586
32765.8902;-0.0604719188;32765.8902;-0.075754149;32765.8902;-0.0633668158;32765.8902;-0.0691584765;32765.8902;-0.079320259;32765.8902;-0.080390211;32765.8902;-0.0754833018;32765.8902;-0.0678944199;32765.8902;-0.0644937509;32765.8902;-0.0692064793
32777.3145;-0.0601602684;32777.3145;-0.0753830158;32777.3145;-0.0629227099;32777.3145;-0.0685925978;32777.3145;-0.0787720128;32777.3145;-0.0799672067;32777.3145;-0.0752065936;32777.3145;-0.0676779905;32777.3145;-0.0642438574;32777.3145;-0.0688054013
33396.9116;-0.0628019302;33396.9116;-0.0781341046;33396.9116;-0.0655334859;33396.9116;-0.0712009888;33396.9116;-0.0814610322;33396.9116;-0.0827183253;33396.9116;-0.0779804018;33396.9116;-0.0704115889;33396.9116;-0.0669369483;33396.9116;-0.0714937099
33396.9119;-0.0623438667;33396.9119;-0.0776888383;33396.9119;-0.0651435372;33396.9119;-0.0708714782;33396.9119;-0.0811134871;33396.9119;-0.0823012953;33396.9119;-0.077491809;33396.9119;-0.0699009436;33396.9119;-0.0664470199;33396.9119;-0.0710703995
33397.0876;-0.0620866781;33397.0876;-0.0774422647;33397.0876;-0.0649127291;33397.0876;-0.0706633327;33397.0876;-0.0808989136;33397.0876;-0.0820615658;33397.0876;-0.0772293382;33397.0876;-0.0696287644;33397.0876;-0.0661788082;33397.0876;-0.0708299426
33408.5119;-0.0617399413;33408.5119;-0.0770547853;33408.5119;-0.0644619137;33408.5119;-0.0701177335;33408.5119;-0.0803698431;33408.5119;-0.0816310507;33408.5119;-0.0769175979;33408.5119;-0.0693644811;33408.5119;-0.0658846193;33408.5119;-0.0704162534
34011.1107;-0.064220426;34011.1107;-0.0796236554;34011.1107;-0.06689777;34011.1107;-0.0725355865;34011.1107;-0.082860708;34011.1107;-0.084192211;34011.1107;-0.0795149527;34011.1107;-0.0719340926;34011.1107;-0.0684158359;34011.1107;-0.0729270854
